category,variable,sample,ratio,ratio_up,ratio_down
incl_BoostedGen_,nCleanJet_boo,qqWWqq,1.05823541628,1.057968113,1.05850672553
incl_BoostedGen_,nCleanJet_boo,QQH_200_RelW002,1.03327520925,1.03225602147,1.03440744421
incl_BoostedGen_,nCleanJet_boo,GGH_125_RelW002,1.10529259877,1.09547680828,1.11881850218
incl_BoostedGen_,nCleanJet_boo,GGH_3000_RelW002,1.07659552477,1.07593800749,1.07727761491
incl_BoostedGen_,nCleanJet_boo,WW,1.05642898609,1.05625123383,1.05660877331
incl_BoostedGen_,nCleanJet_boo,QQH_250_RelW002,1.03786659185,1.03705241854,1.03873327686
incl_BoostedGen_,nCleanJet_boo,QQH_4000_RelW002,1.01397846258,1.01388129987,1.01407784916
incl_BoostedGen_,nCleanJet_boo,GGH_190_RelW002,1.08342423303,1.08142252835,1.08562317624
incl_BoostedGen_,nCleanJet_boo,QQH_500_RelW002,1.03503687819,1.0348419892,1.0352358458
incl_BoostedGen_,nCleanJet_boo,GGH_250_RelW002,1.05602116927,1.05507024116,1.05702908691
incl_BoostedGen_,nCleanJet_boo,QQH_155_RelW002,1.43742214945,1.36309720482,1.74465573979
incl_BoostedGen_,nCleanJet_boo,QQH_450_RelW002,1.02957951882,1.02938050791,1.02978299373
incl_BoostedGen_,nCleanJet_boo,QQH_600_RelW002,1.03171989957,1.03152898836,1.03191481068
incl_BoostedGen_,nCleanJet_boo,GGH_145_RelW002,1.12074497087,1.11582745238,1.12723203618
incl_BoostedGen_,nCleanJet_boo,GGH_120_RelW002,1.08659635187,1.07802747315,1.09835993018
incl_BoostedGen_,nCleanJet_boo,GGH_2000_RelW002,1.07513862005,1.07451728915,1.0757787038
incl_BoostedGen_,nCleanJet_boo,QQH_180_RelW002,1.04795379627,1.0465368728,1.0495335143
incl_BoostedGen_,nCleanJet_boo,GGH_230_RelW002,1.07808091249,1.07679646159,1.07945109265
incl_BoostedGen_,nCleanJet_boo,GGH_1000_RelW002,1.06783297554,1.06751698692,1.06815433685
